OBJECTNUMMER;Soort;Prijs_per_gebruik;Dagen_geopend;Openingstijden;Omschrijving;Foto;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
378;"Overig urinoir (m)";0;"do - vr - za - zo";"alleen tijdens nachtelijke uren";"Green Pee, urinor met groene uitstraling met planten.";"";"OVERIG";"POINT(4.8949178,52.3659519)";"POINT(52.3659519,4.8949178)";4.8949178;52.3659519;
379;"Overig urinoir (m)";0;"do - vr - za - zo";"alleen tijdens de nachtelijke uren";"Green Pee, urinor met groene uitstraling met planten.";"";"OVERIG";"POINT(4.8948668,52.366024)";"POINT(52.366024,4.8948668)";4.8948668;52.366024;
380;"Gewenst toilet";0;"";"";"Toilet gewenst vanuit SD West, vaste voorziening + extra tijdens zomerseizoen";"";"GEWENST";"POINT(4.8704418,52.3865989)";"POINT(52.3865989,4.8704418)";4.8704418;52.3865989;
381;"Gewenst toilet";0;"";"";"Gewenst MVG toilet park de Oeverlanden";"";"GEWENST";"POINT(4.8210361,52.3358026)";"POINT(52.3358026,4.8210361)";4.8210361;52.3358026;
382;"Gewenst toilet";0;"";"";"Skatepark Olympiaplein";"";"GEWENST";"POINT(4.866786,52.3469147)";"POINT(52.3469147,4.866786)";4.866786;52.3469147;
383;"Gewenst toilet";0;"";"";"MVG in voorbereiding";"";"GEWENST";"POINT(4.8866789,52.3792214)";"POINT(52.3792214,4.8866789)";4.8866789;52.3792214;
384;"Amsterdamse krul (m)";0;"di - do - ma - vr - wo - za - zo";"";"";"Plaskrul Gaapserpark.jpg";"KRUL";"POINT(4.9850632,52.3106599)";"POINT(52.3106599,4.9850632)";4.9850632;52.3106599;
385;"Openbaar toilet, toegankelijk voor mindervaliden (m/v)";0;"di - do - ma - vr - wo - za - zo";"";"Tijdelijk rolstoeltoegankelijk toilet";"Westerpark MVG tijdelijk.jpg";"TOEGANG";"POINT(4.8752199,52.3872886)";"POINT(52.3872886,4.8752199)";4.8752199;52.3872886;
386;"Seizoen (m/v)";0;"di - do - ma - vr - wo - za - zo";"";"Tijdelijk toilet (M/V toilet + urinoir) Rolstoeltoegankelijk  ";"";"SEIZOEN";"POINT(4.875346,52.3872788)";"POINT(52.3872788,4.875346)";4.875346;52.3872788;
387;"Seizoen (m/v)";0;"di - do - ma - vr - wo - za - zo";"";"Tijdelijk toilet (M/V toilet + urinoir)";"";"SEIZOEN";"POINT(4.8754633,52.3872763)";"POINT(52.3872763,4.8754633)";4.8754633;52.3872763;
388;"Seizoen (m/v)";0;"";"";"";"";"SEIZOEN";"POINT(4.8692322,52.358046)";"POINT(52.358046,4.8692322)";4.8692322;52.358046;
